"x","y","planet_name"
-46038450.205,-6.94131102199874e-09,"mercury"
-45855387.372341,-4503243.87475939,"mercury"
-45307356.2565331,-8978016.79183039,"mercury"
-44397821.6867401,-13396027.7960859,"mercury"
-43132534.0333559,-17729344.7994873,"mercury"
-41519492.8523104,-21950571.1767385,"mercury"
-39568896.3093022,-26033018.9755715,"mercury"
-37293076.7037109,-29950877.6465741,"mercury"
-34706422.49983,-33679377.2257927,"mercury"
-31825287.3583631,-37194944.9384202,"mercury"
-28667886.7433154,-40475354.2334681,"mercury"
-25254182.7579654,-43499865.3071775,"mercury"
-21605757.938021,-46249356.2267368,"mercury"
-17745678.7998792,-48706443.8252974,"mercury"
-13698350.0066834,-50855593.6039511,"mercury"
-9489360.07418529,-52683217.9458341,"mercury"
-5145319.59190899,-54177762.0214159,"mercury"
-693692.982436867,-55329776.8418514,"mercury"
3837375.13751307,-56131978.9985307,"mercury"
8419237.89641573,-56579296.7111339,"mercury"
13022927.2826842,-56668901.8930587,"mercury"
17619337.2897659,-56400228.0314948,"mercury"
22179407.9336869,-55774973.7691,"mercury"
26674308.9796279,-54797092.1646348,"mercury"
31075622.2159503,-53472765.7004516,"mercury"
35355521.1232805,-51810367.1948513,"mercury"
39486946.8027248,-49820406.8664297,"mercury"
43443779.0509401,-47515465.8850919,"mercury"
47201001.5004695,-44910116.829845,"mercury"
50734859.7812718,-42020831.5562622,"mercury"
54023011.7034974,-38865877.056108,"mercury"
57044668.5120057,-35465199.967535,"mercury"
59780726.3195685,-31840300.4660153,"mercury"
62213886.8877962,-28014096.3333085,"mercury"
64328766.9921705,-24010778.0638669,"mercury"
66111995.679742,-19855655.9247407,"mercury"
67552298.8046009,-15574999.9359207,"mercury"
68640570.3066565,-11195873.7828136,"mercury"
69369929.7830813,-6745963.71090925,"mercury"
69735765.988433,-2253403.48442247,"mercury"
69735765.988433,2253403.48442249,"mercury"
69369929.7830813,6745963.71090927,"mercury"
68640570.3066565,11195873.7828136,"mercury"
67552298.8046009,15574999.9359207,"mercury"
66111995.679742,19855655.9247408,"mercury"
64328766.9921704,24010778.0638669,"mercury"
62213886.8877962,28014096.3333086,"mercury"
59780726.3195684,31840300.4660153,"mercury"
57044668.5120056,35465199.9675351,"mercury"
54023011.7034974,38865877.0561081,"mercury"
50734859.7812718,42020831.5562622,"mercury"
47201001.5004695,44910116.829845,"mercury"
43443779.0509401,47515465.8850919,"mercury"
39486946.8027248,49820406.8664298,"mercury"
35355521.1232805,51810367.1948514,"mercury"
31075622.2159502,53472765.7004517,"mercury"
26674308.9796279,54797092.1646348,"mercury"
22179407.9336869,55774973.7691,"mercury"
17619337.2897658,56400228.0314948,"mercury"
13022927.2826842,56668901.8930587,"mercury"
8419237.89641572,56579296.7111339,"mercury"
3837375.13751304,56131978.9985307,"mercury"
-693692.982436918,55329776.8418513,"mercury"
-5145319.591909,54177762.0214159,"mercury"
-9489360.07418531,52683217.9458341,"mercury"
-13698350.0066835,50855593.603951,"mercury"
-17745678.7998792,48706443.8252974,"mercury"
-21605757.938021,46249356.2267368,"mercury"
-25254182.7579655,43499865.3071774,"mercury"
-28667886.7433155,40475354.233468,"mercury"
-31825287.3583631,37194944.9384202,"mercury"
-34706422.49983,33679377.2257926,"mercury"
-37293076.7037109,29950877.646574,"mercury"
-39568896.3093022,26033018.9755715,"mercury"
-41519492.8523105,21950571.1767385,"mercury"
-43132534.0333559,17729344.7994873,"mercury"
-44397821.6867401,13396027.7960859,"mercury"
-45307356.2565331,8978016.79183036,"mercury"
-45855387.372341,4503243.87475936,"mercury"
-46038450.205,6.94131102199874e-09,"mercury"
-107452530.007,-1.32515783379724e-08,"venus"
-107110460.77678,-8597091.93151596,"venus"
-106086415.757931,-17139830.27983,"venus"
-104386869.292773,-25574205.1025933,"venus"
-102022566.461263,-33846891.5665557,"venus"
-99008455.1471392,-41905587.08433,"venus"
-95363591.5325836,-49699341.9881899,"venus"
-91111019.6189065,-57178881.650273,"venus"
-86277625.5349495,-64296918.0126438,"venus"
-80893967.554322,-71008448.5576209,"venus"
-74994082.8961575,-77271040.8281833,"venus"
-68615272.5308541,-83045100.6996259,"venus"
-61797865.3513308,-88294122.7063639,"venus"
-54584963.2007813,-92984920.8412398,"venus"
-47022168.3689438,-97087838.3681459,"venus"
-39157295.2797429,-100576935.321458,"venus"
-31040068.1931064,-103430152.506851,"venus"
-22721806.8321847,-105629450.966627,"venus"
-14255101.923537,-107160926.027813,"venus"
-5693482.7016262,-108014895.211982,"venus"
2908921.52023726,-108185959.451,"venus"
11497723.5728414,-107673037.22167,"venus"
20018622.2842677,-106479371.383471,"venus"
28417745.7893838,-104612508.676157,"venus"
36641992.1251193,-102084252.00684,"venus"
44639364.9581741,-98910585.828207,"venus"
52359302.3225787,-95111575.0796665,"venus"
59752996.2887223,-90711238.3303407,"venus"
66773701.5427989,-85737395.9259378,"venus"
73377030.9257314,-80221494.0995696,"venus"
79521236.063083,-74198406.1585408,"venus"
85167471.3117218,-67706212.0040716,"venus"
90280039.3544842,-60785957.3779025,"venus"
94826616.8901072,-53481394.3578985,"venus"
98778458.9915463,-45838704.7433269,"venus"
102110580.840659,-37906208.0786523,"venus"
104801915.69027,-29734056.1618196,"venus"
106835448.05493,-21373915.9684397,"venus"
108198321.288291,-12878642.9965346,"venus"
108881918.866966,-4301947.09706089,"venus"
108881918.866966,4301947.09706094,"venus"
108198321.288291,12878642.9965347,"venus"
106835448.05493,21373915.9684397,"venus"
104801915.69027,29734056.1618196,"venus"
102110580.840659,37906208.0786523,"venus"
98778458.9915463,45838704.7433269,"venus"
94826616.8901072,53481394.3578986,"venus"
90280039.3544842,60785957.3779025,"venus"
85167471.3117218,67706212.0040717,"venus"
79521236.0630829,74198406.1585408,"venus"
73377030.9257314,80221494.0995697,"venus"
66773701.5427988,85737395.9259378,"venus"
59752996.2887222,90711238.3303407,"venus"
52359302.3225786,95111575.0796665,"venus"
44639364.958174,98910585.8282071,"venus"
36641992.1251192,102084252.00684,"venus"
28417745.7893838,104612508.676157,"venus"
20018622.2842677,106479371.383471,"venus"
11497723.5728413,107673037.22167,"venus"
2908921.52023726,108185959.451,"venus"
-5693482.70162623,108014895.211982,"venus"
-14255101.9235371,107160926.027813,"venus"
-22721806.8321847,105629450.966627,"venus"
-31040068.1931064,103430152.506851,"venus"
-39157295.2797429,100576935.321458,"venus"
-47022168.3689439,97087838.3681459,"venus"
-54584963.2007813,92984920.8412398,"venus"
-61797865.3513309,88294122.7063638,"venus"
-68615272.5308542,83045100.6996258,"venus"
-74994082.8961576,77271040.8281832,"venus"
-80893967.5543221,71008448.5576208,"venus"
-86277625.5349495,64296918.0126437,"venus"
-91111019.6189065,57178881.6502729,"venus"
-95363591.5325836,49699341.9881899,"venus"
-99008455.1471393,41905587.08433,"venus"
-102022566.461263,33846891.5665556,"venus"
-104386869.292773,25574205.1025933,"venus"
-106086415.757931,17139830.2798299,"venus"
-107110460.77678,8597091.93151592,"venus"
-107452530.007,1.32515783379724e-08,"venus"
-147056800.017,-1.83180685804675e-08,"earth"
-146583890.333598,-11884027.3647124,"earth"
-145168151.170675,-23692920.0821176,"earth"
-142818533.287045,-35352018.5303397,"earth"
-139549891.723476,-46787610.1351022,"earth"
-135382891.88434,-57927395.4043552,"earth"
-130343878.88427,-68700945.0289431,"earth"
-124464710.985868,-79040145.159373,"earth"
-117782558.181506,-88879628.0435017,"earth"
-110339667.192671,-98157185.3025116,"earth"
-102183094.372586,-106814161.23231,"earth"
-93364408.2007961,-114795823.643778,"earth"
-83939363.2506373,-122051709.897288,"earth"
-73967547.690872,-128535945.943765,"earth"
-63512006.5501004,-134207536.355188,"earth"
-52638843.1257916,-139030623.510892,"earth"
-41416801.0579529,-142974714.300985,"earth"
-29916829.7097052,-146014872.913612,"earth"
-18211635.6025646,-148131878.487181,"earth"
-6375222.74240504,-149312346.630844,"earth"
5517575.25769452,-149548814.044919,"earth"
17391568.299646,-148839785.70628,"earth"
29171685.1763615,-147189744.320369,"earth"
40783448.1960951,-144609121.980093,"earth"
52153444.0543894,-141114234.210772,"earth"
63209787.9766239,-136727176.818135,"earth"
73882578.1967046,-131475686.191522,"earth"
84104337.8985351,-125392963.945498,"earth"
93810441.8261745,-118517467.008563,"earth"
102939524.865512,-110892664.486059,"earth"
111433870.014276,-102566762.834494,"earth"
119239773.287508,-93592401.0848077,"earth"
126307883.251441,-84026318.0414605,"earth"
132593513.039162,-73928993.5614505,"earth"
138056922.875362,-63364266.1811819,"earth"
142663571.324002,-52398929.5086846,"earth"
146384333.670382,-41102309.9329182,"earth"
149195686.056974,-29545828.3200201,"earth"
151079854.208815,-17802548.4675946,"earth"
152024925.808204,-5946715.17185948,"earth"
152024925.808204,5946715.17185954,"earth"
151079854.208815,17802548.4675946,"earth"
149195686.056974,29545828.3200202,"earth"
146384333.670382,41102309.9329182,"earth"
142663571.324002,52398929.5086847,"earth"
138056922.875362,63364266.181182,"earth"
132593513.039162,73928993.5614506,"earth"
126307883.251441,84026318.0414606,"earth"
119239773.287508,93592401.0848078,"earth"
111433870.014276,102566762.834495,"earth"
102939524.865512,110892664.486059,"earth"
93810441.8261744,118517467.008563,"earth"
84104337.898535,125392963.945499,"earth"
73882578.1967045,131475686.191522,"earth"
63209787.9766238,136727176.818135,"earth"
52153444.0543893,141114234.210772,"earth"
40783448.196095,144609121.980093,"earth"
29171685.1763615,147189744.320369,"earth"
17391568.2996459,148839785.70628,"earth"
5517575.25769452,149548814.044919,"earth"
-6375222.74240508,149312346.630844,"earth"
-18211635.6025647,148131878.487181,"earth"
-29916829.7097053,146014872.913612,"earth"
-41416801.057953,142974714.300985,"earth"
-52638843.1257916,139030623.510892,"earth"
-63512006.5501005,134207536.355188,"earth"
-73967547.690872,128535945.943765,"earth"
-83939363.2506373,122051709.897288,"earth"
-93364408.2007962,114795823.643778,"earth"
-102183094.372586,106814161.23231,"earth"
-110339667.192671,98157185.3025115,"earth"
-117782558.181506,88879628.0435017,"earth"
-124464710.985868,79040145.1593729,"earth"
-130343878.88427,68700945.0289431,"earth"
-135382891.88434,57927395.4043551,"earth"
-139549891.723476,46787610.1351021,"earth"
-142818533.287045,35352018.5303397,"earth"
-145168151.170675,23692920.0821176,"earth"
-146583890.333598,11884027.3647123,"earth"
-147056800.017,1.83180685804675e-08,"earth"
-206495520.094,-2.77885603531996e-08,"mars"
-205775028.282229,-18028102.1556781,"mars"
-203618108.028129,-35942224.8450091,"mars"
-200038396.07601,-53629109.2165299,"mars"
-195058524.517396,-70976933.0925869,"mars"
-188709977.703653,-87876017.9451462,"mars"
-181032893.191782,-104219522.318761,"mars"
-172075807.981864,-119904117.316654,"mars"
-161895351.650513,-134830639.87927,"mars"
-150555888.320464,-148904719.725065,"mars"
-138129109.729863,-162037375.989816,"mars"
-124693581.974019,-174145579.792286,"mars"
-110334248.785247,-185152779.169552,"mars"
-95141894.491252,-194989383.063154,"mars"
-79212570.0473706,-203593201.296181,"mars"
-62646985.7715118,-210909837.759586,"mars"
-45549874.6210989,-216893034.321907,"mars"
-28029330.037592,-221504963.288063,"mars"
-10196122.5449484,-224716466.558223,"mars"
7837000.57729467,-226507239.974705,"mars"
25956028.1186228,-226865961.691393,"mars"
44046405.7531254,-225790363.754097,"mars"
61993760.2888273,-223287246.439286,"mars"
79684622.7718331,-219372435.260555,"mars"
97007145.8735874,-214070680.914631,"mars"
113851811.025698,-207415502.799498,"mars"
130112120.831585,-199448977.09397,"mars"
145685272.377315,-190221470.738545,"mars"
160472807.184719,-179791322.999389,"mars"
174381233.697592,-168224476.628709,"mars"
187322618.365415,-155594060.953446,"mars"
199215141.587574,-141979929.52812,"mars"
209983615.003214,-127468155.274953,"mars"
219559956.85627,-112150486.303138,"mars"
227883622.430246,-96123765.8477551,"mars"
234901986.831408,-79489319.9956549,"mars"
240570677.700306,-62352317.0693174,"mars"
244853855.748113,-44821102.7188543,"mars"
247724441.344154,-27006514.9259249,"mars"
249164285.722047,-9021183.25032973,"mars"
249164285.722047,9021183.25032983,"mars"
247724441.344154,27006514.925925,"mars"
244853855.748113,44821102.7188544,"mars"
240570677.700306,62352317.0693175,"mars"
234901986.831408,79489319.995655,"mars"
227883622.430246,96123765.8477552,"mars"
219559956.85627,112150486.303139,"mars"
209983615.003214,127468155.274953,"mars"
199215141.587573,141979929.52812,"mars"
187322618.365415,155594060.953446,"mars"
174381233.697592,168224476.628709,"mars"
160472807.184719,179791322.999389,"mars"
145685272.377315,190221470.738545,"mars"
130112120.831585,199448977.09397,"mars"
113851811.025697,207415502.799498,"mars"
97007145.8735872,214070680.914631,"mars"
79684622.771833,219372435.260555,"mars"
61993760.2888272,223287246.439286,"mars"
44046405.7531253,225790363.754097,"mars"
25956028.1186228,226865961.691393,"mars"
7837000.57729462,226507239.974705,"mars"
-10196122.5449485,224716466.558223,"mars"
-28029330.0375922,221504963.288063,"mars"
-45549874.6210989,216893034.321907,"mars"
-62646985.7715119,210909837.759586,"mars"
-79212570.0473707,203593201.296181,"mars"
-95141894.491252,194989383.063154,"mars"
-110334248.785247,185152779.169551,"mars"
-124693581.974019,174145579.792286,"mars"
-138129109.729864,162037375.989816,"mars"
-150555888.320464,148904719.725065,"mars"
-161895351.650513,134830639.87927,"mars"
-172075807.981864,119904117.316654,"mars"
-181032893.191782,104219522.318761,"mars"
-188709977.703653,87876017.9451461,"mars"
-195058524.517396,70976933.0925867,"mars"
-200038396.07601,53629109.2165299,"mars"
-203618108.028129,35942224.845009,"mars"
-205775028.28223,18028102.155678,"mars"
-206495520.094,2.77885603531996e-08,"mars"
-740420070.049,-9.52327925866411e-08,"jupiter"
-737958884.940672,-61783211.9224841,"jupiter"
-730590890.020371,-123175810.486816,"jupiter"
-718362668.124262,-183789651.91826,"jupiter"
-701351530.0083,-243241515.99541,"jupiter"
-679665025.56474,-301155528.891818,"jupiter"
-653440263.857092,-357165539.571344,"jupiter"
-622843046.272473,-410917434.712893,"jupiter"
-588066818.271859,-462071377.528852,"jupiter"
-549331446.365593,-510303956.32267,"jupiter"
-506881828.046517,-555310229.201741,"jupiter"
-460986343.469175,-596805652.018226,"jupiter"
-411935158.66406,-634527877.348774,"jupiter"
-360038391.014551,-668238413.139395,"jupiter"
-305624148.594962,-697724130.529022,"jupiter"
-249036455.765657,-722798611.31878,"jupiter"
-190633078.140275,-743303326.567873,"jupiter"
-130783260.676336,-759108638.86458,"jupiter"
-69865393.1897287,-770114621.935715,"jupiter"
-8264618.05246661,-776251692.412698,"jupiter"
53629604.8013938,-777481049.760019,"jupiter"
115425960.16685,-773794921.584711,"jupiter"
176733751.58867,-765216612.775923,"jupiter"
237165371.470181,-751800358.163906,"jupiter"
296338751.653284,-733630979.629959,"jupiter"
353879778.976373,-710823349.835179,"jupiter"
409424660.538192,-683521665.958514,"jupiter"
462622223.713688,-651898538.035773,"jupiter"
513136136.380414,-616153897.663401,"jupiter"
560647033.318495,-576513733.966556,"jupiter"
604854535.340377,-533228664.823096,"jupiter"
645479148.384761,-486572352.376668,"jupiter"
682264030.568048,-436839772.856517,"jupiter"
714976616.021426,-384345351.642801,"jupiter"
743410085.247167,-329420975.368092,"jupiter"
767384672.698083,-272413893.623234,"jupiter"
786748803.3132,-213684523.533623,"jupiter"
801380050.824086,-153604171.086096,"jupiter"
811185911.773145,-92552683.6129351,"jupiter"
816104390.35026,-30916048.2747287,"jupiter"
816104390.35026,30916048.274729,"jupiter"
811185911.773145,92552683.6129354,"jupiter"
